,Background,Background Error,Branch Lengths,Branches,Curvature,Gauss. Width,Intensity Error,Lengths,Peak Intensity,Width Error,Widths
10,,,"[25.727922061357862, 30.727922061357859, 6.6568542494923806, 1.4142135623730951, 9.8284271247461898, 7.0710678118654755, 3.8284271247461898, 12.485281374238571, 5.4142135623730949, 17.899494936611667, 4.2426406871192857, 1.0]",12,0.23859491734526656,,,0.8387091206185758,,,0.014210053634382458
11,,,"[6.8284271247461898, 5.6568542494923806, 3.8284271247461903, 36.041630560342625, 5.6568542494923806, 7.6568542494923797, 1.0, 20.899494936611667, 1.0, 1.0, 1.0, 4.2426406871192857]",12,0.15340197298745833,,,0.3275551722108977,,,Fit Fail
12,,,"[55.941125496954264, 30.213203435596434, 5.6568542494923806, 7.2426406871192848, 17.313708498984763]",5,0.18340398072650413,,,0.49527004852362655,,,0.045856074865826192
13,,,"[6.6568542494923806, 7.6568542494923797, 6.2426406871192857, 6.2426406871192848, 11.65685424949238, 5.6568542494923806, 13.828427124746192, 4.2426406871192857, 11.899494936611667, 1.0, 39.213203435596427, 9.8994949366116671, 0, 29.627416997969529, 5.2426406871192857, 1.0, 17.485281374238571, 9.6568542494923797, 7.4142135623730949, 3.4142135623730949, 10.82842712474619, 8.8284271247461898, 31.556349186104054, 15.727922061357859, 11.899494936611667, 6.2426406871192857, 1.0, 1.0, 12.899494936611667, 5.6568542494923806, 5.8284271247461898]",31,0.1381980084392543,,,1.9969322318576663,,,0.021042042413531352
14,,,"[9.0710678118654755, 8.4852813742385713, 10.071067811865477, 29.213203435596434, 7.4142135623730949, 11.899494936611667, 9.6568542494923797, 5.2426406871192857, 1.0, 47.970562748477136, 5.6568542494923806, 17.485281374238571, 5.6568542494923806, 7.6568542494923797, 23.970562748477146, 9.8994949366116671, 8.8284271247461898, 13.656854249492381, 5.6568542494923806, 4.2426406871192857, 5.6568542494923806, 33.798989873223334, 9.0, 11.071067811865476, 13.727922061357859, 12.313708498984763, 1.0, 2.8284271247461903, 8.4852813742385713, 9.8994949366116671, 2.8284271247461903, 11.656854249492381, 13.313708498984763, 23.384776310850242, 1.0, 29.242640687119287, 5.2426406871192857, 8.6568542494923797, 5.6568542494923806, 46.455844122715696, 18.55634918610405, 7.0710678118654755, 35.798989873223334, 14.313708498984763, 6.2426406871192848, 5.6568542494923806, 5.6568542494923806, 6.8284271247461898, 5.6568542494923806, 6.6568542494923806, 13.071067811865476, 22.970562748477146, 17.313708498984763, 5.6568542494923806, 7.6568542494923797, 19.970562748477146, 9.2426406871192857, 11.313708498984763, 12.727922061357859, 1.0, 0, 16.55634918610405, 11.313708498984763, 0, 2.4142135623730949, 12.727922061357859, 12.485281374238571, 27.142135623730955, 16.142135623730955, 77.911688245431378, 22.485281374238571, 9.8994949366116671, 12.313708498984763, 7.6568542494923797, 12.485281374238571, 14.899494936611667, 24.798989873223338, 17.656854249492383, 7.0710678118654755, 8.2426406871192839, 10.242640687119286, 57.840620433565917, 8.0710678118654755, 18.727922061357859, 4.2426406871192857, 23.485281374238571, 0, 9.8284271247461898, 36.041630560342618, 33.485281374238575, 33.041630560342625, 14.899494936611669, 16.071067811865476, 7.0710678118654755, 11.313708498984763, 8.0710678118654755, 7.0710678118654755, 9.0710678118654755, 25.142135623730955, 3.8284271247461898, 31.142135623730955, 4.0, 1.0, 2.4142135623730949, 21.55634918610405, 1.0, 9.4852813742385713, 18.55634918610405, 7.6568542494923797, 18.727922061357859, 8.4852813742385713, 9.6568542494923797, 80.740115370177577, 62.426406871192803, 7.2426406871192848, 6.6568542494923806, 9.8994949366116671, 64.597979746446626, 65.69848480983498, 18.485281374238571, 8.4852813742385713, 5.6568542494923806, 40.041630560342611, 44.384776310850228, 47.87005768508881, 1.0, 8.6568542494923797, 1.0, 21.727922061357859, 11.071067811865477, 7.0710678118654755, 7.2426406871192848, 36.970562748477136, 12.313708498984763, 33.041630560342625, 11.899494936611667, 8.0710678118654755, 3.4142135623730949, 0, 21.142135623730955, 2.0, 8.4852813742385713, 11.242640687119284, 8.4852813742385713, 56.769552621700441, 6.6568542494923806, 7.6568542494923797, 15.899494936611667, 22.798989873223338, 7.2426406871192848, 5.6568542494923806, 30.627416997969529, 11.313708498984763, 6.6568542494923806, 32.313708498984766, 7.4142135623730949, 25.55634918610405, 13.727922061357859, 12.071067811865477, 9.8994949366116671, 22.313708498984763, 24.899494936611671, 5.6568542494923806, 9.0710678118654755, 0, 1.0, 97.539105243400854, 22.656854249492383, 15.485281374238573, 17.485281374238571, 14.313708498984763, 1.0, 11.414213562373096, 43.041630560342604, 36.698484809834994, 10.485281374238571, 11.071067811865476, 36.970562748477143, 21.727922061357859, 23.384776310850242, 7.0710678118654755, 34.727922061357859, 4.2426406871192857, 0, 0, 9.6568542494923815, 22.828427124746192, 0, 6.2426406871192848, 9.0710678118654755, 10.485281374238571, 15.313708498984763, 6.6568542494923806, 7.2426406871192848, 47.384776310850228, 34.55634918610405, 10.242640687119286, 40.79898987322332, 5.2426406871192857, 7.0710678118654755, 28.970562748477146, 6.6568542494923797]",202,0.032821276150337926,,,5.233903872419427,,,0.019462007905427729
15,,,"[1.0, 32.313708498984759, 5.6568542494923806, 1.0, 21.727922061357859, 10.899494936611667, 17.65685424949238, 18.485281374238571, 14.656854249492381, 34.970562748477136]",10,0.19796776291929594,,,0.3726856593009112,,,Fit Fail
16,,,"[18.656854249492383, 1.0, 10.071067811865476, 8.4852813742385713, 5.6568542494923806, 0, 7.0710678118654755, 3.0, 21.828427124746192]",9,0.20551062298240694,,,0.36768428893728333,,,0.13839263376180755
17,,,"[45.112698372208072, 9.4852813742385713, 38.556349186104043, 15.727922061357861, 11.313708498984763, 12.071067811865476, 27.727922061357859, 6.2426406871192848, 11.485281374238571]",9,0.14282310749489469,,,0.578534998795854,,,Fit Fail
18,,,"[13.727922061357859, 5.2426406871192857, 11.313708498984763, 31.384776310850242, 0, 7.2426406871192857, 5.6568542494923806, 13.071067811865477, 26.313708498984763, 1.0, 1.0, 23.899494936611667, 0, 15.485281374238573, 11.899494936611667, 5.6568542494923806, 1.0, 13.899494936611669, 5.4142135623730949, 13.313708498984763, 1.4142135623730951, 7.2426406871192848, 7.0710678118654755, 8.2426406871192857, 5.6568542494923806, 18.485281374238571, 8.4852813742385713, 15.727922061357859, 3.4142135623730949, 10.414213562373096, 21.384776310850242, 1.4142135623730951, 1.4142135623730951, 0, 7.6568542494923797, 3.8284271247461898, 9.4852813742385713, 13.071067811865476, 21.970562748477146, 18.485281374238571, 9.0710678118654755, 10.656854249492381, 26.798989873223338, 1.0, 2.0, 6.4142135623730949, 12.485281374238571, 9.4852813742385713, 6.8284271247461898, 5.6568542494923806, 8.8284271247461898, 8.0710678118654755, 15.485281374238573, 40.041630560342625, 8.6568542494923797, 7.0710678118654755, 5.8284271247461898, 6.6568542494923797, 27.142135623730955, 0, 1.0, 9.0710678118654755, 8.4852813742385713, 28.213203435596434, 7.0710678118654755, 18.727922061357859, 7.2426406871192848, 5.6568542494923806, 1.4142135623730951, 9.2426406871192857, 1.0, 3.4142135623730949, 10.071067811865476, 58.183766184073548, 7.8284271247461898, 11.828427124746192, 33.970562748477143, 22.485281374238575, 28.727922061357859, 11.485281374238571, 19.55634918610405, 22.142135623730955, 8.6568542494923797, 2.0, 16.656854249492383, 15.313708498984765, 1.0, 15.485281374238575, 8.4852813742385713, 5.6568542494923806, 8.0710678118654755, 20.485281374238571, 5.8284271247461898, 8.4852813742385713, 0, 6.6568542494923797, 31.384776310850242, 11.0, 5.6568542494923806, 10.899494936611667, 11.899494936611667, 8.4852813742385713, 13.071067811865476, 14.313708498984763, 38.556349186104043, 4.2426406871192857, 24.313708498984763, 11.65685424949238, 10.071067811865476, 1.4142135623730951, 5.6568542494923806, 5.6568542494923806, 7.6568542494923806, 17.071067811865476, 36.384776310850228, 35.041630560342618, 10.899494936611667, 13.071067811865477, 16.485281374238571, 7.2426406871192848, 1.0, 16.899494936611667, 8.6568542494923797, 8.4852813742385713, 15.727922061357859, 5.6568542494923806, 12.65685424949238, 1.0, 10.071067811865476, 8.4142135623730958, 28.384776310850242, 1.0, 13.242640687119286, 5.2426406871192857, 13.899494936611667, 7.2426406871192848, 7.0710678118654755, 14.071067811865476, 14.414213562373096, 5.6568542494923806, 24.213203435596434, 16.485281374238575, 43.041630560342611, 6.6568542494923806, 1.0, 37.384776310850242, 1.0, 38.213203435596427, 5.6568542494923806, 21.55634918610405, 5.6568542494923806, 33.213203435596434, 8.8284271247461898, 12.65685424949238, 32.455844122715718, 29.213203435596434, 9.8994949366116671, 12.313708498984763, 59.526911934581165, 22.485281374238575, 9.4852813742385713, 2.8284271247461903, 22.384776310850242, 8.4852813742385713, 8.0710678118654755, 17.727922061357859, 9.8994949366116671, 11.485281374238571, 5.6568542494923806, 10.071067811865476, 41.284271247461895, 5.2426406871192848, 11.414213562373096, 38.112698372208094, 5.6568542494923806, 19.899494936611667, 5.6568542494923806, 13.899494936611667, 21.727922061357859, 5.8284271247461898, 39.79898987322332, 7.2426406871192848, 5.8284271247461898, 15.727922061357859, 5.6568542494923806, 37.627416997969519, 5.6568542494923806, 5.6568542494923806, 64.183766184073548, 11.071067811865476, 16.55634918610405, 1.0, 5.6568542494923806, 7.2426406871192848, 30.213203435596434, 8.4852813742385713, 20.55634918610405, 9.0710678118654755, 5.6568542494923806, 7.0710678118654755, 12.899494936611669, 0, 7.0710678118654755, 39.041630560342611, 1.0, 5.6568542494923806, 20.384776310850242, 7.0710678118654755, 17.727922061357859, 21.142135623730955, 9.0710678118654755, 8.4852813742385713, 27.384776310850242, 1.0, 18.142135623730955, 14.727922061357859, 7.0710678118654755, 50.355339059327349, 5.6568542494923806, 6.6568542494923806, 21.313708498984763, 9.6568542494923815, 8.0710678118654755, 5.6568542494923806, 18.727922061357859, 5.6568542494923806, 31.870057685088817, 7.0710678118654755, 10.485281374238571, 30.798989873223338, 13.899494936611667, 14.242640687119286, 6.6568542494923806, 5.6568542494923806, 29.798989873223338, 59.112698372208072, 5.8284271247461898, 7.0710678118654755, 9.6568542494923797, 7.0710678118654755, 6.2426406871192848, 18.727922061357859, 8.4852813742385713, 5.6568542494923806, 5.6568542494923806, 8.2426406871192839, 7.0710678118654755, 18.485281374238571, 19.384776310850242]",249,0.028396893894258823,,,1.0597673581763811,,,0.23803005043666373
19,,,"[30.213203435596434, 7.2426406871192848, 5.6568542494923806, 0, 30.55634918610405, 2.4142135623730949, 11.65685424949238, 5.2426406871192857, 14.65685424949238, 4.2426406871192857, 7.2426406871192848]",11,0.17582441778180588,,,0.43676254033560336,,,Fit Fail
